uid	name	q	description	common_name	last_updated	family	short_description
47	Allygus mixtus	provide a complete scientific and natural history summary of Allygus mixtus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Allygus mixtus is a leafhopper species in the family Cicadellidae, native to parts of North America. It inhabits deciduous and mixed woodlands and is typically found on shrubs and low vegetation. It feeds on plant sap and may play a role in transmitting plant pathogens. Despite its name, it is not a true stink bug.	Mixed green stink bug	2025-08-09 21:15:23	Cicadellidae	Leafhopper found in deciduous forests; feeds on plant sap using piercing mouthparts.

48	Alydus calcaratus	provide a complete scientific and natural history summary of Alydus calcaratus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Alydus calcaratus is a phytophagous true bug that primarily feeds on fallen seeds of various legumes, especially species of the genera Sarothamnus, Cytisus, Genista, and Ulex. Occasionally, it has been observed feeding on vertebrate carrion and feces. The species is widely distributed across Europe and parts of Asia, inhabiting diverse terrestrial ecosystems. Adults are typically observed from mid-June to October, with mating occurring from July to September. Nymphs have been found from May to August, and there are indications that they may reside in ant nests, although the nature of this relationship remains unclear.	Broad headed bug	2025-08-09 21:15:23	Alydidae	Phytophagous true bug that primarily feeds on fallen seeds of various legumes, especially species of the genera Sarothamnus, Cytisus, Genista, and Ulex.

49	Amara communis	provide a complete scientific and natural history summary of Amara communis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Amara communis is a ground beetle commonly found in wet hayfields and meadows. It plays a significant role in pest control by preying on various invertebrates, thus helping to maintain ecological balance. Additionally, this species contributes to seed dispersal, aiding in plant community dynamics. Its presence is indicative of healthy grassland ecosystems.	Seed eating ground beetle	2025-08-09 21:15:23	Carabidae	Ground beetle commonly found in wet hayfields and meadows

50	Amblyomma americanum	provide a complete scientific and natural history summary of Amblyomma americanum, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Amblyomma americanum, commonly known as the lone star tick, is a vector for several pathogens affecting humans and animals, including Ehrlichia chaffeensis and Ehrlichia ewingii, which cause ehrlichiosis. This tick species is also associated with alpha-gal syndrome, an allergy to red meat. It is widely distributed across the eastern United States, inhabiting wooded areas with dense underbrush. The lone star tick is known for its aggressive host-seeking behavior and can transmit diseases through its bite.	Lone star tick	2025-08-09 21:15:23	Ixodidae	Vector for several pathogens affecting humans and animals, including agents of ehrlichiosis.

51	Amblyomma maculatum	provide a complete scientific and natural history summary of Amblyomma maculatum, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Amblyomma maculatum, or the Gulf Coast tick, is a three-host tick species found primarily in grassland habitats. Its larvae and nymphs feed on small birds and mammals, while adults parasitize larger mammals, including humans. This tick is a known vector of Rickettsia parkeri, the causative agent of Tidewater spotted fever. The species has expanded its range inland from the Gulf Coast, facilitated by migratory birds and changes in land use.	Gulf Coast tick	2025-08-09 21:15:23	Ixodidae	Three-host tick species found primarily in grassland habitats, parasitizing different hosts at each life stage.

52	Amblyopone australis	provide a complete scientific and natural history summary of Amblyopone australis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Amblyopone australis, known as the Dracula ant, is a subterranean predator native to Australia and New Zealand. It preys on soft-bodied arthropods, which it paralyzes with its sting before feeding them to its larvae. Notably, this species exhibits a unique behavior where adults feed on the hemolymph of their own larvae by making small incisions, a practice that does not harm the larvae and provides nutrition to the adults. Colonies are typically small, residing under logs or stones in forested areas.	Dracula ant	2025-08-09 21:15:23	Formicidae	Known as the Dracula ant, is a subterranean predator native to Australia and New Zealand
